date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2010-10-01 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 00:00:00,1.766556e-09,2.5092843e-06,5.5238933e-09
2010-10-01 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 03:00:00,2.9434601e-09,1.3658217e-07,7.141706e-09
2010-10-01 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 06:00:00,6.10096e-10,1.6727151e-06,3.9151193e-09
2010-10-01 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 09:00:00,1.6466698e-09,4.3549526e-06,3.14795e-09
2010-10-01 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 12:00:00,9.422447e-10,3.6246254e-06,1.1966617e-09
2010-10-01 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 15:00:00,1.074348e-09,9.942073e-07,6.896327e-10
2010-10-01 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 18:00:00,7.201866e-10,1.5706666e-05,9.668389e-10
2010-10-01 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 21:00:00,7.583082e-10,2.862617e-06,1.5556767e-09
2010-10-02 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 00:00:00,1.6142954e-09,5.673979e-07,3.4966883e-09
2010-10-02 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 03:00:00,1.3113851e-09,1.2821332e-07,2.6666225e-09
2010-10-02 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 06:00:00,1.3055874e-09,2.177012e-08,4.188117e-09
2010-10-02 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 09:00:00,1.4469594e-10,5.336224e-07,3.8677053e-09
2010-10-02 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 12:00:00,1.7281947e-10,4.4917925e-08,2.2786002e-09
2010-10-02 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 15:00:00,1.3680768e-09,3.0478338e-07,4.0244655e-10
2010-10-02 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 18:00:00,1.1192871e-09,3.4048498e-06,3.1732986e-10
2010-10-02 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 21:00:00,9.938896e-10,1.93779e-05,9.00467e-10
2010-10-03 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 00:00:00,5.848865e-10,8.22014e-05,7.019864e-10
2010-10-03 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 03:00:00,8.7894525e-10,4.1437597e-05,6.9972994e-10
2010-10-03 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 06:00:00,7.611401e-10,4.91967e-05,6.296566e-10
2010-10-03 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 09:00:00,5.7195815e-10,3.8243572e-05,6.000117e-10
2010-10-03 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 12:00:00,4.0704667e-10,6.90416e-06,4.4224396e-10
2010-10-03 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 15:00:00,3.1047076e-10,6.595713e-06,3.6528514e-10
2010-10-03 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 18:00:00,3.4153333e-10,8.497172e-06,3.980233e-10
2010-10-03 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 21:00:00,4.630715e-10,2.1850688e-06,5.0672044e-10
2010-10-04 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 00:00:00,8.00897e-10,2.198808e-06,7.15951e-10
2010-10-04 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 03:00:00,1.275791e-09,6.4416264e-07,1.06238e-09
2010-10-04 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 06:00:00,1.2397007e-09,1.808514e-06,1.1917636e-09
2010-10-04 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 09:00:00,9.659504e-10,1.1797573e-06,1.2068294e-09
2010-10-04 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 12:00:00,6.330353e-10,7.2282987e-06,7.6294837e-10
2010-10-04 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 15:00:00,2.4260413e-10,4.3377167e-06,4.6946047e-10
2010-10-04 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 18:00:00,4.0530918e-10,1.0561814e-06,4.2182755e-10
2010-10-04 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 21:00:00,9.891756e-10,1.3340427e-06,1.1196716e-09
2010-10-05 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 00:00:00,1.602183e-09,5.7489103e-07,2.909116e-09
2010-10-05 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 03:00:00,2.464295e-09,8.6540933e-07,4.56616e-09
2010-10-05 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 06:00:00,2.8608644e-09,6.5794666e-08,1.1620555e-08
2010-10-05 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 09:00:00,1.5970445e-09,1.8935662e-06,1.2605799e-08
2010-10-05 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 12:00:00,6.689829e-10,2.044397e-06,1.7543449e-09
2010-10-05 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 15:00:00,4.122632e-10,4.6594096e-06,8.478951e-10
2010-10-05 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 18:00:00,1.3094102e-10,3.0369406e-06,4.4665588e-10
2010-10-05 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 21:00:00,4.680674e-10,4.5679948e-07,6.338384e-10
2010-10-06 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 00:00:00,5.437643e-10,9.1526687e-07,5.4753735e-10
2010-10-06 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 03:00:00,8.5778146e-10,2.1250406e-07,8.782513e-10
2010-10-06 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 06:00:00,9.293806e-10,4.496178e-08,1.0993846e-09
2010-10-06 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 09:00:00,4.6010912e-10,2.1887708e-08,6.9573813e-10
2010-10-06 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 12:00:00,3.6878714e-10,2.903107e-09,4.5574836e-10
2010-10-06 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 15:00:00,3.9016906e-10,0.0,1.186885e-10
2010-10-06 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 18:00:00,5.5499516e-10,2.051238e-07,1.9687274e-10
2010-10-06 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 21:00:00,1.0199905e-09,2.9027092e-09,7.1679757e-10
2010-10-07 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 00:00:00,1.6146565e-09,1.10158e-08,1.7944036e-09
2010-10-07 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 03:00:00,2.017398e-09,0.0,2.2659112e-09
2010-10-07 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 06:00:00,2.7150446e-09,0.0,4.8422386e-09
2010-10-07 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 09:00:00,1.6948587e-09,0.0,1.04473035e-08
2010-10-07 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 12:00:00,1.6059044e-09,0.0,2.695726e-09
2010-10-07 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 15:00:00,1.3323207e-09,0.0,2.8653097e-10
2010-10-07 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 18:00:00,1.4295046e-09,5.811453e-07,5.8079386e-10
2010-10-07 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 21:00:00,1.5958008e-09,4.484572e-06,8.6770796e-10
2010-10-08 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 00:00:00,1.9325386e-09,2.3473978e-05,7.875716e-10
2010-10-08 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 03:00:00,1.89562e-09,3.4496752e-05,6.204925e-10
2010-10-08 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 06:00:00,1.6721449e-09,7.501225e-06,7.3907597e-10
2010-10-08 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 09:00:00,1.5271828e-09,3.735256e-06,9.263392e-10
2010-10-08 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 12:00:00,1.3511379e-09,1.7690526e-07,4.837563e-10
2010-10-08 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 15:00:00,8.920897e-10,0.0,1.934907e-10
2010-10-08 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 18:00:00,8.694432e-10,0.0,2.3154687e-10
2010-10-08 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 21:00:00,1.1695289e-09,0.0,7.933863e-10
2010-10-09 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 00:00:00,1.7050207e-09,0.0,2.6197202e-09
2010-10-09 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 03:00:00,9.957447e-10,5.2696123e-08,5.07679e-10
2010-10-09 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 06:00:00,6.1000976e-10,3.4533166e-06,4.1302883e-10
2010-10-09 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 09:00:00,6.361792e-10,5.4083994e-06,6.386016e-10
2010-10-09 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 12:00:00,2.7478256e-10,3.010325e-06,3.1028977e-10
2010-10-09 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 15:00:00,1.4586822e-10,2.693305e-06,1.994049e-10
2010-10-09 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 18:00:00,2.3544217e-10,4.874716e-06,2.387886e-10
2010-10-09 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 21:00:00,4.481934e-10,8.8473723e-07,4.3121035e-10
2010-10-10 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 00:00:00,6.5929306e-10,9.328021e-07,5.8991123e-10
2010-10-10 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 03:00:00,9.110297e-10,8.491869e-07,7.0097195e-10
2010-10-10 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 06:00:00,9.795642e-10,1.022719e-06,9.189574e-10
2010-10-10 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 09:00:00,7.6928675e-10,1.1909168e-06,9.371688e-10
2010-10-10 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 12:00:00,2.2917042e-10,1.20616885e-08,2.8060199e-10
2010-10-10 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 15:00:00,3.0752387e-11,1.4927355e-07,1.5143081e-10
2010-10-10 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 18:00:00,3.8442763e-11,1.2899003e-06,2.0763136e-10
2010-10-10 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 21:00:00,4.2336082e-10,4.6319738e-06,4.721934e-10
2010-10-11 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 00:00:00,6.096913e-10,3.569644e-07,6.077962e-10
2010-10-11 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 03:00:00,1.0960739e-09,6.6174755e-07,9.494271e-10
2010-10-11 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 06:00:00,1.2265714e-09,5.8904266e-07,1.3648591e-09
2010-10-11 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 09:00:00,1.1587803e-09,1.4425976e-07,2.884823e-09
2010-10-11 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 12:00:00,2.3545382e-10,1.9231746e-07,3.56527e-10
2010-10-11 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 15:00:00,5.2692715e-11,0.0,1.172235e-10
2010-10-11 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 18:00:00,2.6698248e-11,2.1770725e-07,2.0072478e-10
2010-10-11 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 21:00:00,1.1764618e-10,1.938442e-06,3.4367265e-10
2010-10-12 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 00:00:00,5.3837423e-10,1.2703696e-06,5.1884524e-10
2010-10-12 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 03:00:00,8.3816937e-10,1.7881307e-07,7.051921e-10
2010-10-12 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 06:00:00,9.11853e-10,9.121353e-08,9.287708e-10
2010-10-12 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 09:00:00,8.382684e-10,1.1129305e-07,1.342945e-09
2010-10-12 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 12:00:00,2.7536562e-10,0.0,2.7554153e-10
2010-10-12 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 15:00:00,1.5411383e-10,0.0,9.6727126e-11
2010-10-12 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 18:00:00,1.1188575e-10,0.0,1.3987131e-10
2010-10-12 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 21:00:00,3.9023737e-10,0.0,4.307596e-10
2010-10-13 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 00:00:00,7.035733e-10,0.0,6.677536e-10
2010-10-13 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 03:00:00,1.1748115e-09,0.0,1.135539e-09
2010-10-13 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 06:00:00,1.3899302e-09,6.700702e-10,1.9639927e-09
2010-10-13 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 09:00:00,1.0135703e-09,2.6802809e-09,2.4908602e-09
2010-10-13 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 12:00:00,4.3351242e-10,0.0,3.958674e-10
2010-10-13 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 15:00:00,3.223968e-10,0.0,1.0342874e-10
2010-10-13 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 18:00:00,2.7461244e-10,0.0,1.5058116e-10
2010-10-13 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 21:00:00,6.7897665e-10,0.0,6.430831e-10
2010-10-14 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-14 00:00:00,1.1169956e-09,0.0,1.1456455e-09
2010-10-14 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-14 03:00:00,1.62123e-09,0.0,1.6906326e-09
2010-10-14 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-14 06:00:00,1.6692714e-09,2.8059276e-08,2.5664963e-09
2010-10-14 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-14 09:00:00,1.3866752e-09,2.4189148e-09,3.1949625e-09
2010-10-14 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-14 12:00:00,1.251397e-09,0.0,7.1474315e-10
2010-10-14 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-14 15:00:00,9.0457614e-10,6.773007e-09,1.3198528e-10
2010-10-14 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-14 18:00:00,7.0820627e-10,0.0,2.4774077e-10
2010-10-14 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-14 21:00:00,1.2001664e-09,3.8708095e-09,1.4206933e-09
2010-10-15 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-15 00:00:00,1.4008068e-09,9.1695813e-07,1.95627e-09
2010-10-15 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-15 03:00:00,2.3020872e-09,0.0,4.468718e-09
2010-10-15 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-15 06:00:00,1.930431e-09,3.3505785e-09,3.8126315e-09
2010-10-15 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-15 09:00:00,1.5139878e-09,0.0,6.5327344e-09
2010-10-15 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-15 12:00:00,1.3694808e-09,2.243789e-06,2.5644944e-09
2010-10-15 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-15 15:00:00,1.4853134e-09,0.0,4.711933e-10
2010-10-15 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-15 18:00:00,1.4897459e-09,6.029586e-08,9.871155e-10
2010-10-15 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-15 21:00:00,1.3367506e-09,1.5256694e-05,2.2491093e-09
2010-10-16 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-16 00:00:00,1.3708326e-09,4.6289819e-07,4.0588795e-09
2010-10-16 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-16 03:00:00,1.5543213e-09,2.9613916e-06,3.507158e-09
2010-10-16 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-16 06:00:00,2.277523e-09,0.0,3.7277283e-09
2010-10-16 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-16 09:00:00,1.4705642e-09,5.998845e-08,1.2061798e-08
2010-10-16 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-16 12:00:00,1.0939281e-09,0.0,2.4539963e-09
2010-10-16 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-16 15:00:00,1.1436614e-09,0.0,3.3753977e-10
2010-10-16 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-16 18:00:00,9.895991e-10,0.0,3.7336267e-10
2010-10-16 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-16 21:00:00,9.455479e-10,3.6985016e-06,1.0795252e-09
2010-10-17 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-17 00:00:00,2.112641e-09,1.7879016e-08,8.010327e-09
2010-10-17 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-17 03:00:00,3.5173426e-09,5.031264e-08,1.6634441e-08
2010-10-17 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-17 06:00:00,2.2675604e-09,1.4010362e-07,2.2495485e-08
2010-10-17 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-17 09:00:00,3.0700784e-10,1.3144363e-07,1.5596104e-08
2010-10-17 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-17 12:00:00,5.0533217e-11,1.1192636e-06,7.056657e-10
2010-10-17 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-17 15:00:00,2.663058e-10,9.661806e-06,2.906967e-10
2010-10-17 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-17 18:00:00,5.4113364e-10,8.88147e-06,5.873194e-10
2010-10-17 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-17 21:00:00,5.788875e-10,4.2738016e-06,7.347658e-10
2010-10-18 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-18 00:00:00,8.833204e-10,3.7520947e-06,9.285059e-10
2010-10-18 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-18 03:00:00,1.1293346e-09,2.4527642e-06,1.6849575e-09
2010-10-18 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-18 06:00:00,1.0316044e-09,3.2812068e-06,2.93956e-09
2010-10-18 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-18 09:00:00,1.0232717e-09,2.955857e-05,3.387338e-09
2010-10-18 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-18 12:00:00,7.9736884e-10,3.9555845e-05,2.2721194e-09
2010-10-18 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-18 15:00:00,3.9462747e-10,1.2605748e-05,8.0136947e-10
2010-10-18 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-18 18:00:00,3.5049752e-10,1.753912e-05,4.1960335e-10
2010-10-18 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-18 21:00:00,3.98717e-10,1.8437875e-05,5.4389054e-10
2010-10-19 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-19 00:00:00,5.9970645e-10,9.755275e-07,7.1890566e-10
2010-10-19 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-19 03:00:00,1.0768797e-09,5.8487547e-07,1.2038088e-09
2010-10-19 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-19 06:00:00,1.0096906e-09,2.553134e-07,1.352769e-09
2010-10-19 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-19 09:00:00,4.0546938e-10,4.2675993e-08,5.8322214e-10
2010-10-19 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-19 12:00:00,1.8219988e-10,0.0,3.6156722e-10
2010-10-19 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-19 15:00:00,4.300731e-11,6.701157e-09,1.3641818e-10
2010-10-19 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-19 18:00:00,4.7938466e-11,3.8702638e-08,1.8707508e-10
2010-10-19 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-19 21:00:00,3.705049e-10,1.8522476e-07,5.298969e-10
2010-10-20 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-20 00:00:00,9.1933844e-10,1.0643271e-07,1.0341192e-09
2010-10-20 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-20 03:00:00,9.564614e-10,9.3408744e-08,1.1237611e-09
2010-10-20 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-20 06:00:00,1.337555e-09,0.0,2.240317e-09
2010-10-20 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-20 09:00:00,1.2027858e-09,0.0,5.590843e-09
2010-10-20 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-20 12:00:00,4.1117657e-10,0.0,4.3049997e-10
2010-10-20 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-20 15:00:00,2.3814356e-10,0.0,1.0443155e-10
2010-10-20 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-20 18:00:00,2.1494383e-10,0.0,1.3836912e-10
2010-10-20 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-20 21:00:00,6.118517e-10,0.0,6.0590855e-10
2010-10-21 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-21 00:00:00,1.294447e-09,0.0,2.0666082e-09
2010-10-21 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-21 03:00:00,1.9346222e-09,0.0,3.8626053e-09
2010-10-21 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-21 06:00:00,1.7288269e-09,0.0,5.7018763e-09
2010-10-21 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-21 09:00:00,1.1314042e-09,0.0,6.9645747e-09
2010-10-21 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-21 12:00:00,6.55328e-10,0.0,7.742591e-10
2010-10-21 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-21 15:00:00,4.2726558e-10,0.0,1.1200335e-10
2010-10-21 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-21 18:00:00,3.8505857e-10,9.675603e-10,1.5332732e-10
2010-10-21 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-21 21:00:00,7.598718e-10,0.0,8.0465673e-10
2010-10-22 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-22 00:00:00,1.3169356e-09,5.8054184e-09,1.6948591e-09
2010-10-22 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-22 03:00:00,1.8022923e-09,0.0,2.6397826e-09
2010-10-22 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-22 06:00:00,1.5616951e-09,0.0,3.8552397e-09
2010-10-22 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-22 09:00:00,2.1059486e-10,2.9027092e-09,1.8701214e-09
2010-10-22 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-22 12:00:00,7.1254064e-10,1.9351205e-09,7.741726e-10
2010-10-22 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-22 15:00:00,5.788878e-10,9.675659e-09,1.3038953e-10
2010-10-22 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-22 18:00:00,5.5269866e-10,2.5156623e-08,1.5903254e-10
2010-10-22 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-22 21:00:00,9.222352e-10,1.7416369e-08,7.776817e-10
2010-10-23 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-23 00:00:00,8.5067253e-10,3.8705184e-07,9.2009156e-10
2010-10-23 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-23 03:00:00,8.9108565e-10,9.1537623e-07,1.4114802e-09
2010-10-23 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-23 06:00:00,9.2699187e-10,4.8715447e-07,2.7073312e-09
2010-10-23 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-23 09:00:00,9.729535e-10,4.869394e-06,4.556775e-09
2010-10-23 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-23 12:00:00,1.1635758e-09,8.305771e-06,1.6414272e-09
2010-10-23 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-23 15:00:00,1.2755772e-09,1.7497916e-05,7.9878426e-10
2010-10-23 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-23 18:00:00,1.3551371e-09,6.4757754e-05,2.2123827e-09
2010-10-23 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-23 21:00:00,1.284234e-09,4.628256e-05,5.3221587e-09
2010-10-24 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-24 00:00:00,1.6437525e-09,4.9108125e-06,5.384377e-09
2010-10-24 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-24 03:00:00,2.3741173e-09,1.4413127e-06,9.761111e-09
2010-10-24 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-24 06:00:00,1.7608066e-09,8.433178e-06,7.774025e-09
2010-10-24 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-24 09:00:00,8.9187263e-10,7.350439e-07,5.699219e-09
2010-10-24 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-24 12:00:00,5.2446236e-10,2.834989e-07,8.9283314e-10
2010-10-24 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-24 15:00:00,1.6281074e-10,6.515793e-06,2.3063917e-10
2010-10-24 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-24 18:00:00,2.2762939e-10,1.3425192e-06,2.8513003e-10
2010-10-24 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-24 21:00:00,3.7158499e-10,1.2534409e-06,6.4393135e-10
2010-10-25 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-25 00:00:00,5.8634286e-10,4.2652397e-07,9.2344965e-10
2010-10-25 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-25 03:00:00,9.307197e-10,1.5481419e-08,1.2129666e-09
2010-10-25 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-25 06:00:00,1.0415147e-09,3.9748556e-08,1.6147552e-09
2010-10-25 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-25 09:00:00,8.295743e-10,9.677024e-10,2.4621671e-09
2010-10-25 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-25 12:00:00,2.4654795e-10,8.1276085e-08,3.9110545e-10
2010-10-25 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-25 15:00:00,3.7077286e-10,5.0311932e-08,1.8542534e-10
2010-10-25 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-25 18:00:00,4.1961956e-10,4.8928914e-06,2.6336547e-10
2010-10-25 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-25 21:00:00,6.135743e-10,3.2708087e-07,5.7712424e-10
2010-10-26 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-26 00:00:00,7.130533e-10,2.5322176e-06,6.8579176e-10
2010-10-26 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-26 03:00:00,7.388771e-10,9.919189e-07,7.889222e-10
